"REPORT_DT","LOCATION","ORIGIN_NM","COMMODITY","disposition"
"2020-02-04","TX Brownsville CBP","New Zealand","Protea","OK Inspected"
"2020-02-04","VA Dulles CBP","Netherlands","Gerbera","OK Inspected"
"2020-02-05","CA San Francisco CBP","Mexico","Hyacinthus","OK Inspected"
"2020-02-06","FL Miami Air CBP","Japan","Gerbera","OK Inspected"
"2020-02-06","CA San Francisco CBP","Mexico","Hyacinthus","CFRP Not Inspected"
"2020-02-07","WA Blaine CBP","Japan","Rosa","OK Inspected"
"2020-02-08","FL Miami Air CBP","Mexico","Mokara","OK Inspected"
"2020-02-08","VA Dulles CBP","Mexico","Hyacinthus","OK Inspected"
"2020-02-09","HI Honolulu CBP","India","Rosa","OK Inspected"
"2020-02-10","WA Seattle Air CBP","Japan","Aegilops","OK Inspected"
"2020-02-10","WA Blaine CBP","Mexico","Hyacinthus","Pest Found"
"2020-02-11","WA Blaine CBP","Tanzania","Mokara","OK Inspected"
"2020-02-12","TX Brownsville CBP","Netherlands","Gerbera","CFRP Not Inspected"
"2020-02-12","WA Seattle Air CBP","New Zealand","Actinidia","OK Inspected"
"2020-02-13","AZ Phoenix CBP","Mexico","Actinidia","OK Inspected"
"2020-02-14","AZ Phoenix CBP","Netherlands","Anemone","OK Inspected"
"2020-02-14","TX Brownsville CBP","Mexico","Mokara","Pest Found"
"2020-02-15","HI Honolulu CBP","Japan","Liatris","OK Inspected"
"2020-02-16","WA Blaine CBP","India","Mokara","OK Inspected"
"2020-02-16","FL Miami Air CBP","Mexico","Gerbera","OK Inspected"
"2020-02-17","FL Miami Air CBP","India","Gerbera","OK Inspected"
"2020-02-18","NY JFK CBP","India","Rosa","OK Inspected"
"2020-02-18","FL Miami Air CBP","Mexico","Liatris","OK Inspected"
"2020-02-19","WA Blaine CBP","Tanzania","Gerbera","OK Inspected"
"2020-02-20","TX Brownsville CBP","New Zealand","Liatris","OK Inspected"
"2020-02-20","CA San Francisco CBP","Mexico","Hyacinthus","OK CFRP Inspected"
"2020-02-21","NY JFK CBP","Netherlands","Liatris","OK Inspected"
"2020-02-22","TX Brownsville CBP","Japan","Rosa","OK Inspected"
"2020-02-22","WA Blaine CBP","Israel","Mokara","OK Inspected"
"2020-02-23","WA Blaine CBP","New Zealand","Gerbera","OK Inspected"
"2020-02-24","WA Blaine CBP","Tanzania","Hyacinthus","OK Inspected"
"2020-02-24","AZ Phoenix CBP","India","Rosa","OK Inspected"
"2020-02-25","HI Honolulu CBP","Tanzania","Actinidia","OK Inspected"
"2020-02-26","WA Blaine CBP","Israel","Mokara","OK Inspected"
"2020-02-26","AZ Phoenix CBP","Israel","Mokara","OK Inspected"
"2020-02-27","HI Honolulu CBP","Japan","Anemone","OK Inspected"
"2020-02-28","CA San Francisco CBP","New Zealand","Hyacinthus","OK Inspected"
"2020-02-28","AZ Phoenix CBP","Japan","Gerbera","OK Inspected"
"2020-02-29","TX Brownsville CBP","Israel","Rosa","OK Inspected"
"2020-03-01","TX Brownsville CBP","New Zealand","Anemone","OK Inspected"
"2020-03-01","WA Seattle Air CBP","Tanzania","Mokara","OK Inspected"
"2020-03-02","AZ Phoenix CBP","Japan","Agapanthus","OK Inspected"
"2020-03-03","FL Miami Air CBP","Mexico","Gerbera","OK Inspected"
"2020-03-03","NY JFK CBP","Tanzania","Mokara","OK Inspected"
"2020-03-04","VA Dulles CBP","India","Actinidia","OK Inspected"
"2020-03-05","NY JFK CBP","Israel","Aegilops","OK Inspected"
"2020-03-05","TX Brownsville CBP","Netherlands","Agapanthus","OK Inspected"
"2020-03-06","TX Brownsville CBP","Israel","Liatris","OK Inspected"
"2020-03-07","AZ Phoenix CBP","Israel","Anemone","OK Inspected"
"2020-03-07","TX Brownsville CBP","Japan","Hyacinthus","OK Inspected"
"2020-03-08","WA Blaine CBP","India","Liatris","OK Inspected"
"2020-03-09","HI Honolulu CBP","India","Agapanthus","OK Inspected"
"2020-03-09","HI Honolulu CBP","Japan","Liatris","OK Inspected"
"2020-03-10","NY JFK CBP","Japan","Protea","OK Inspected"
"2020-03-11","NY JFK CBP","Israel","Actinidia","OK Inspected"
"2020-03-11","TX Brownsville CBP","Netherlands","Rosa","OK Inspected"
"2020-03-12","VA Dulles CBP","Israel","Gerbera","OK Inspected"
"2020-03-13","CA San Francisco CBP","Israel","Mokara","OK Inspected"
"2020-03-13","WA Blaine CBP","Japan","Anemone","OK Inspected"
"2020-03-14","HI Honolulu CBP","New Zealand","Aegilops","OK Inspected"
"2020-03-15","NY JFK CBP","Mexico","Gerbera","OK Inspected"
"2020-03-15","FL Miami Air CBP","Tanzania","Protea","OK Inspected"
"2020-03-16","VA Dulles CBP","Tanzania","Mokara","OK Inspected"
"2020-03-17","VA Dulles CBP","Netherlands","Gerbera","OK Inspected"
"2020-03-17","AZ Phoenix CBP","Tanzania","Protea","OK Inspected"
"2020-03-18","TX Brownsville CBP","New Zealand","Agapanthus","OK Inspected"
"2020-03-19","HI Honolulu CBP","New Zealand","Rosa","OK Inspected"
"2020-03-19","HI Honolulu CBP","New Zealand","Aegilops","Pest Found"
"2020-03-20","NY JFK CBP","New Zealand","Anemone","OK Inspected"
"2020-03-21","WA Blaine CBP","Israel","Aegilops","OK Inspected"
"2020-03-21","WA Seattle Air CBP","Japan","Agapanthus","OK Inspected"
"2020-03-22","WA Seattle Air CBP","Mexico","Mokara","OK Inspected"
"2020-03-23","NY JFK CBP","Mexico","Liatris","OK Inspected"
"2020-03-23","NY JFK CBP","Israel","Hyacinthus","OK Inspected"
"2020-03-24","WA Seattle Air CBP","Japan","Actinidia","Pest Found"
"2020-03-25","WA Seattle Air CBP","Tanzania","Rosa","OK Inspected"
"2020-03-25","WA Blaine CBP","New Zealand","Actinidia","OK Inspected"
"2020-03-26","CA San Francisco CBP","Israel","Protea","OK Inspected"
"2020-03-27","WA Blaine CBP","Netherlands","Rosa","OK Inspected"
"2020-03-27","WA Blaine CBP","Mexico","Aegilops","OK Inspected"
"2020-03-28","VA Dulles CBP","Netherlands","Liatris","OK Inspected"
"2020-03-29","NY JFK CBP","India","Liatris","OK Inspected"
"2020-03-29","TX Brownsville CBP","Japan","Aegilops","OK Inspected"
"2020-03-30","TX Brownsville CBP","Israel","Hyacinthus","OK Inspected"
"2020-03-31","AZ Phoenix CBP","Japan","Hyacinthus","CFRP Not Inspected"
"2020-03-31","CA San Francisco CBP","New Zealand","Protea","OK Inspected"
"2020-04-01","AZ Phoenix CBP","Israel","Gerbera","OK Inspected"
"2020-04-02","NY JFK CBP","Mexico","Aegilops","OK Inspected"
"2020-04-02","TX Brownsville CBP","New Zealand","Agapanthus","OK Inspected"
"2020-04-03","TX Brownsville CBP","Japan","Hyacinthus","OK Inspected"
"2020-04-04","NY JFK CBP","India","Gerbera","OK Inspected"
"2020-04-04","WA Seattle Air CBP","India","Liatris","OK Inspected"
"2020-04-05","VA Dulles CBP","India","Liatris","OK Inspected"
"2020-04-06","AZ Phoenix CBP","Netherlands","Gerbera","OK Inspected"
"2020-04-06","HI Honolulu CBP","Israel","Actinidia","OK Inspected"
"2020-04-07","HI Honolulu CBP","New Zealand","Gerbera","OK Inspected"
"2020-04-08","HI Honolulu CBP","Netherlands","Hyacinthus","OK Inspected"
"2020-04-08","AZ Phoenix CBP","India","Agapanthus","OK Inspected"
"2020-04-09","NY JFK CBP","Netherlands","Gerbera","OK Inspected"
"2020-04-10","FL Miami Air CBP","Tanzania","Aegilops","OK Inspected"
"2020-04-10","AZ Phoenix CBP","Tanzania","Aegilops","OK Inspected"
"2020-04-11","AZ Phoenix CBP","Israel","Rosa","OK Inspected"
"2020-04-12","WA Blaine CBP","Japan","Hyacinthus","OK CFRP Inspected"
"2020-04-12","HI Honolulu CBP","India","Aegilops","OK Inspected"
"2020-04-13","WA Seattle Air CBP","Tanzania","Agapanthus","OK Inspected"
"2020-04-14","NY JFK CBP","Israel","Agapanthus","OK Inspected"
"2020-04-14","TX Brownsville CBP","Mexico","Mokara","OK Inspected"
"2020-04-15","NY JFK CBP","India","Agapanthus","OK Inspected"
"2020-04-16","CA San Francisco CBP","Israel","Actinidia","OK Inspected"
"2020-04-16","VA Dulles CBP","Japan","Aegilops","OK Inspected"
"2020-04-17","AZ Phoenix CBP","Netherlands","Aegilops","OK Inspected"
"2020-04-18","WA Seattle Air CBP","Japan","Agapanthus","OK Inspected"
"2020-04-18","FL Miami Air CBP","India","Actinidia","OK Inspected"
"2020-04-19","HI Honolulu CBP","Japan","Liatris","OK Inspected"
"2020-04-20","WA Blaine CBP","Japan","Actinidia","OK Inspected"
"2020-04-20","NY JFK CBP","New Zealand","Actinidia","OK Inspected"
"2020-04-21","HI Honolulu CBP","Israel","Gerbera","OK Inspected"
"2020-04-22","AZ Phoenix CBP","New Zealand","Rosa","OK Inspected"
"2020-04-22","WA Seattle Air CBP","India","Gerbera","CFRP Not Inspected"
"2020-04-23","AZ Phoenix CBP","Netherlands","Anemone","OK Inspected"
"2020-04-24","CA San Francisco CBP","Japan","Mokara","OK Inspected"
"2020-04-24","HI Honolulu CBP","Tanzania","Actinidia","OK Inspected"
"2020-04-25","AZ Phoenix CBP","Japan","Protea","OK Inspected"
"2020-04-26","AZ Phoenix CBP","Tanzania","Hyacinthus","OK Inspected"
"2020-04-26","WA Blaine CBP","Mexico","Rosa","OK Inspected"
"2020-04-27","VA Dulles CBP","Netherlands","Hyacinthus","OK Inspected"
"2020-04-28","TX Brownsville CBP","New Zealand","Liatris","OK Inspected"
"2020-04-28","CA San Francisco CBP","Tanzania","Anemone","OK Inspected"
"2020-04-29","CA San Francisco CBP","Mexico","Agapanthus","OK Inspected"
"2020-04-30","WA Seattle Air CBP","New Zealand","Hyacinthus","OK Inspected"
"2020-04-30","FL Miami Air CBP","Netherlands","Mokara","Pest Found"
"2020-05-01","AZ Phoenix CBP","Mexico","Liatris","OK Inspected"
"2020-05-02","HI Honolulu CBP","Tanzania","Hyacinthus","CFRP Not Inspected"
"2020-05-02","AZ Phoenix CBP","India","Protea","OK Inspected"
"2020-05-03","CA San Francisco CBP","India","Protea","OK Inspected"
"2020-05-04","WA Seattle Air CBP","Mexico","Agapanthus","OK Inspected"
"2020-05-04","FL Miami Air CBP","Israel","Agapanthus","OK Inspected"
"2020-05-05","AZ Phoenix CBP","Mexico","Gerbera","OK Inspected"
"2020-05-06","HI Honolulu CBP","Tanzania","Protea","OK Inspected"
"2020-05-06","WA Seattle Air CBP","Tanzania","Gerbera","OK Inspected"
"2020-05-07","AZ Phoenix CBP","Mexico","Mokara","OK Inspected"
"2020-05-08","NY JFK CBP","New Zealand","Protea","OK Inspected"
"2020-05-08","AZ Phoenix CBP","New Zealand","Liatris","Pest Found"
"2020-05-09","TX Brownsville CBP","Japan","Hyacinthus","CFRP Not Inspected"
"2020-05-10","NY JFK CBP","Netherlands","Anemone","Pest Found"
"2020-05-10","TX Brownsville CBP","Mexico","Protea","OK Inspected"
"2020-05-11","HI Honolulu CBP","New Zealand","Actinidia","OK Inspected"
"2020-05-12","AZ Phoenix CBP","Tanzania","Anemone","OK Inspected"
"2020-05-12","FL Miami Air CBP","Tanzania","Agapanthus","OK Inspected"
"2020-05-13","AZ Phoenix CBP","Mexico","Aegilops","Pest Found"
"2020-05-14","NY JFK CBP","Mexico","Liatris","OK Inspected"
"2020-05-14","VA Dulles CBP","India","Actinidia","OK Inspected"
"2020-05-15","AZ Phoenix CBP","India","Hyacinthus","CFRP Not Inspected"
"2020-05-16","VA Dulles CBP","Netherlands","Agapanthus","OK Inspected"
"2020-05-16","AZ Phoenix CBP","India","Aegilops","OK Inspected"
"2020-05-17","HI Honolulu CBP","New Zealand","Protea","OK Inspected"
"2020-05-18","WA Seattle Air CBP","Japan","Liatris","OK Inspected"
"2020-05-18","AZ Phoenix CBP","Netherlands","Aegilops","OK Inspected"
"2020-05-19","WA Seattle Air CBP","India","Agapanthus","OK Inspected"
"2020-05-20","HI Honolulu CBP","Japan","Protea","OK Inspected"
"2020-05-20","CA San Francisco CBP","India","Liatris","OK Inspected"
"2020-05-21","WA Seattle Air CBP","Netherlands","Aegilops","OK Inspected"
"2020-05-22","TX Brownsville CBP","Mexico","Aegilops","OK Inspected"
"2020-05-22","NY JFK CBP","Israel","Agapanthus","OK Inspected"
"2020-05-23","NY JFK CBP","Israel","Aegilops","OK Inspected"
"2020-05-24","FL Miami Air CBP","Japan","Anemone","OK Inspected"
"2020-05-24","NY JFK CBP","New Zealand","Rosa","OK Inspected"
"2020-05-25","AZ Phoenix CBP","Japan","Anemone","OK Inspected"
"2020-05-26","VA Dulles CBP","Netherlands","Rosa","OK Inspected"
"2020-05-26","AZ Phoenix CBP","Mexico","Agapanthus","OK Inspected"
"2020-05-27","CA San Francisco CBP","India","Rosa","CFRP Not Inspected"
"2020-05-28","WA Seattle Air CBP","Netherlands","Liatris","OK Inspected"
"2020-05-28","FL Miami Air CBP","Netherlands","Anemone","OK Inspected"
"2020-05-29","FL Miami Air CBP","Japan","Gerbera","OK Inspected"
"2020-05-30","WA Seattle Air CBP","Tanzania","Anemone","OK Inspected"
"2020-05-30","FL Miami Air CBP","Israel","Aegilops","OK Inspected"
"2020-05-31","WA Blaine CBP","Netherlands","Anemone","OK Inspected"
"2020-06-01","VA Dulles CBP","Netherlands","Aegilops","OK Inspected"
"2020-06-01","NY JFK CBP","Israel","Gerbera","OK Inspected"
"2020-06-02","HI Honolulu CBP","Netherlands","Actinidia","OK Inspected"
"2020-06-03","WA Blaine CBP","India","Mokara","OK Inspected"
"2020-06-03","TX Brownsville CBP","India","Agapanthus","OK Inspected"
"2020-06-04","TX Brownsville CBP","Netherlands","Actinidia","OK Inspected"
"2020-06-05","NY JFK CBP","Tanzania","Hyacinthus","OK Inspected"
"2020-06-05","NY JFK CBP","Tanzania","Rosa","OK Inspected"
"2020-06-06","WA Blaine CBP","Tanzania","Gerbera","OK Inspected"
"2020-06-07","WA Blaine CBP","India","Actinidia","OK CFRP Inspected"
"2020-06-07","AZ Phoenix CBP","Netherlands","Mokara","OK Inspected"
"2020-06-08","WA Blaine CBP","Mexico","Mokara","OK Inspected"
"2020-06-09","HI Honolulu CBP","Japan","Agapanthus","OK Inspected"
"2020-06-09","CA San Francisco CBP","New Zealand","Aegilops","OK Inspected"
"2020-06-10","WA Seattle Air CBP","Tanzania","Gerbera","OK Inspected"
"2020-06-11","NY JFK CBP","Israel","Protea","OK Inspected"
"2020-06-11","NY JFK CBP","Israel","Agapanthus","OK Inspected"
"2020-06-12","TX Brownsville CBP","Japan","Anemone","OK Inspected"
"2020-06-13","NY JFK CBP","Tanzania","Gerbera","OK Inspected"
"2020-06-13","AZ Phoenix CBP","Mexico","Protea","OK Inspected"
"2020-06-14","WA Blaine CBP","Japan","Anemone","OK Inspected"
"2020-06-15","WA Blaine CBP","New Zealand","Protea","OK Inspected"
"2020-06-15","VA Dulles CBP","Japan","Rosa","OK Inspected"
"2020-06-16","TX Brownsville CBP","India","Mokara","OK Inspected"
"2020-06-17","VA Dulles CBP","Netherlands","Actinidia","OK Inspected"
"2020-06-17","AZ Phoenix CBP","New Zealand","Rosa","OK Inspected"
"2020-06-18","AZ Phoenix CBP","India","Actinidia","OK Inspected"
"2020-06-19","VA Dulles CBP","India","Agapanthus","OK Inspected"
"2020-06-19","FL Miami Air CBP","Tanzania","Agapanthus","OK Inspected"
"2020-06-20","TX Brownsville CBP","New Zealand","Rosa","OK Inspected"
"2020-06-21","TX Brownsville CBP","Tanzania","Agapanthus","OK Inspected"
"2020-06-21","WA Blaine CBP","Netherlands","Anemone","OK Inspected"
"2020-06-22","FL Miami Air CBP","Tanzania","Gerbera","OK Inspected"
"2020-06-23","HI Honolulu CBP","India","Hyacinthus","OK Inspected"
"2020-06-23","NY JFK CBP","Netherlands","Agapanthus","OK Inspected"
"2020-06-24","WA Seattle Air CBP","India","Protea","OK Inspected"
"2020-06-25","VA Dulles CBP","Japan","Anemone","OK Inspected"
"2020-06-25","NY JFK CBP","Japan","Gerbera","OK Inspected"
"2020-06-26","NY JFK CBP","India","Mokara","OK Inspected"
"2020-06-27","CA San Francisco CBP","Israel","Aegilops","OK Inspected"
"2020-06-27","VA Dulles CBP","Mexico","Mokara","Pest Found"
"2020-06-28","CA San Francisco CBP","Israel","Agapanthus","OK Inspected"
"2020-06-29","NY JFK CBP","India","Anemone","OK Inspected"
"2020-06-29","AZ Phoenix CBP","Netherlands","Agapanthus","OK Inspected"
"2020-06-30","NY JFK CBP","Netherlands","Liatris","OK Inspected"
"2020-07-01","HI Honolulu CBP","Japan","Rosa","OK Inspected"
"2020-07-01","TX Brownsville CBP","Netherlands","Liatris","OK Inspected"
"2020-07-02","HI Honolulu CBP","Netherlands","Mokara","OK Inspected"
"2020-07-03","HI Honolulu CBP","New Zealand","Anemone","OK Inspected"
"2020-07-03","NY JFK CBP","India","Hyacinthus","OK Inspected"
"2020-07-04","VA Dulles CBP","Japan","Liatris","OK Inspected"
"2020-07-05","FL Miami Air CBP","Tanzania","Mokara","OK Inspected"
"2020-07-05","WA Seattle Air CBP","Tanzania","Hyacinthus","OK Inspected"
"2020-07-06","FL Miami Air CBP","Mexico","Protea","OK Inspected"
"2020-07-07","AZ Phoenix CBP","India","Agapanthus","OK Inspected"
"2020-07-07","AZ Phoenix CBP","Israel","Anemone","OK Inspected"
"2020-07-08","CA San Francisco CBP","Japan","Anemone","OK Inspected"
"2020-07-09","TX Brownsville CBP","India","Hyacinthus","OK Inspected"
"2020-07-09","WA Seattle Air CBP","India","Gerbera","OK Inspected"
"2020-07-10","FL Miami Air CBP","Mexico","Hyacinthus","OK Inspected"
"2020-07-11","WA Blaine CBP","New Zealand","Protea","OK Inspected"
"2020-07-11","TX Brownsville CBP","Mexico","Anemone","OK Inspected"
"2020-07-12","TX Brownsville CBP","New Zealand","Agapanthus","OK Inspected"
"2020-07-13","CA San Francisco CBP","India","Rosa","OK Inspected"
"2020-07-13","FL Miami Air CBP","Tanzania","Rosa","OK Inspected"
"2020-07-14","TX Brownsville CBP","Japan","Aegilops","OK Inspected"
"2020-07-15","AZ Phoenix CBP","New Zealand","Protea","OK Inspected"
"2020-07-15","AZ Phoenix CBP","Israel","Agapanthus","OK Inspected"
"2020-07-16","NY JFK CBP","Japan","Aegilops","OK Inspected"
"2020-07-17","NY JFK CBP","New Zealand","Liatris","OK Inspected"
"2020-07-17","CA San Francisco CBP","India","Mokara","OK Inspected"
"2020-07-18","AZ Phoenix CBP","Mexico","Anemone","OK Inspected"
"2020-07-19","WA Seattle Air CBP","Israel","Actinidia","OK Inspected"
"2020-07-19","HI Honolulu CBP","Mexico","Protea","OK Inspected"
"2020-07-20","AZ Phoenix CBP","Tanzania","Liatris","OK Inspected"
"2020-07-21","HI Honolulu CBP","New Zealand","Anemone","OK Inspected"
"2020-07-21","WA Seattle Air CBP","Israel","Mokara","OK Inspected"
"2020-07-22","CA San Francisco CBP","Mexico","Gerbera","OK Inspected"
"2020-07-23","FL Miami Air CBP","India","Mokara","OK Inspected"
"2020-07-23","HI Honolulu CBP","Tanzania","Mokara","OK Inspected"
"2020-07-24","VA Dulles CBP","India","Rosa","OK Inspected"
"2020-07-25","NY JFK CBP","Japan","Hyacinthus","OK Inspected"
"2020-07-25","CA San Francisco CBP","New Zealand","Gerbera","OK CFRP Inspected"
"2020-07-26","CA San Francisco CBP","India","Rosa","OK Inspected"
"2020-07-27","CA San Francisco CBP","Tanzania","Hyacinthus","OK Inspected"
"2020-07-27","TX Brownsville CBP","India","Liatris","OK Inspected"
"2020-07-28","HI Honolulu CBP","Japan","Agapanthus","OK Inspected"
"2020-07-29","VA Dulles CBP","New Zealand","Rosa","OK Inspected"
"2020-07-29","CA San Francisco CBP","Japan","Liatris","OK Inspected"
"2020-07-30","WA Seattle Air CBP","Mexico","Anemone","OK Inspected"
"2020-07-31","WA Blaine CBP","New Zealand","Rosa","OK Inspected"
"2020-07-31","WA Seattle Air CBP","Tanzania","Gerbera","OK Inspected"
"2020-08-01","VA Dulles CBP","Israel","Anemone","OK Inspected"
"2020-08-02","CA San Francisco CBP","New Zealand","Aegilops","OK Inspected"
"2020-08-02","HI Honolulu CBP","India","Rosa","OK Inspected"
"2020-08-03","WA Blaine CBP","Israel","Liatris","OK Inspected"
"2020-08-04","VA Dulles CBP","Japan","Rosa","OK Inspected"
"2020-08-04","HI Honolulu CBP","Israel","Rosa","OK Inspected"
"2020-08-05","TX Brownsville CBP","New Zealand","Gerbera","OK Inspected"
"2020-08-06","WA Blaine CBP","Netherlands","Anemone","OK Inspected"
"2020-08-06","CA San Francisco CBP","Mexico","Aegilops","OK Inspected"
"2020-08-07","VA Dulles CBP","Japan","Rosa","OK Inspected"
"2020-08-08","TX Brownsville CBP","Japan","Agapanthus","OK Inspected"
"2020-08-08","WA Blaine CBP","Mexico","Liatris","OK Inspected"
"2020-08-09","FL Miami Air CBP","Israel","Actinidia","OK Inspected"
"2020-08-10","WA Blaine CBP","Mexico","Actinidia","OK Inspected"
"2020-08-10","WA Blaine CBP","Japan","Liatris","OK Inspected"
"2020-08-11","TX Brownsville CBP","Mexico","Mokara","OK Inspected"
"2020-08-12","TX Brownsville CBP","New Zealand","Aegilops","OK Inspected"
"2020-08-12","VA Dulles CBP","Mexico","Protea","OK Inspected"
"2020-08-13","WA Seattle Air CBP","Netherlands","Mokara","OK Inspected"
"2020-08-14","FL Miami Air CBP","Tanzania","Protea","OK Inspected"
"2020-08-14","WA Blaine CBP","Israel","Agapanthus","OK Inspected"
"2020-08-15","AZ Phoenix CBP","India","Hyacinthus","CFRP Not Inspected"
"2020-08-16","WA Seattle Air CBP","India","Protea","OK Inspected"
"2020-08-16","WA Blaine CBP","Tanzania","Hyacinthus","OK Inspected"
"2020-08-17","HI Honolulu CBP","Japan","Mokara","OK Inspected"
"2020-08-18","CA San Francisco CBP","Netherlands","Mokara","OK Inspected"
"2020-08-18","FL Miami Air CBP","India","Hyacinthus","OK Inspected"
"2020-08-19","FL Miami Air CBP","India","Rosa","OK Inspected"
"2020-08-20","HI Honolulu CBP","Tanzania","Aegilops","OK Inspected"
"2020-08-20","NY JFK CBP","Israel","Actinidia","OK Inspected"
"2020-08-21","VA Dulles CBP","Israel","Anemone","OK Inspected"
"2020-08-22","VA Dulles CBP","Tanzania","Aegilops","OK Inspected"
"2020-08-22","WA Seattle Air CBP","Tanzania","Anemone","Pest Found"
"2020-08-23","WA Blaine CBP","Japan","Gerbera","OK Inspected"
"2020-08-24","VA Dulles CBP","Tanzania","Aegilops","OK Inspected"
"2020-08-24","NY JFK CBP","Japan","Anemone","OK Inspected"
"2020-08-25","CA San Francisco CBP","Israel","Protea","OK Inspected"
"2020-08-26","NY JFK CBP","Japan","Liatris","OK Inspected"
"2020-08-26","CA San Francisco CBP","Israel","Liatris","OK Inspected"
"2020-08-27","WA Seattle Air CBP","New Zealand","Agapanthus","OK Inspected"
"2020-08-28","NY JFK CBP","Israel","Agapanthus","OK Inspected"
"2020-08-28","VA Dulles CBP","Netherlands","Actinidia","OK Inspected"
"2020-08-29","VA Dulles CBP","Mexico","Rosa","CFRP Not Inspected"
"2020-08-30","WA Seattle Air CBP","Mexico","Agapanthus","OK Inspected"
"2020-08-30","NY JFK CBP","Japan","Gerbera","OK Inspected"
"2020-08-31","AZ Phoenix CBP","Netherlands","Aegilops","OK Inspected"
"2020-09-01","CA San Francisco CBP","Mexico","Actinidia","OK Inspected"
"2020-09-01","VA Dulles CBP","Mexico","Anemone","OK Inspected"
"2020-09-02","NY JFK CBP","Israel","Mokara","OK Inspected"
"2020-09-03","TX Brownsville CBP","Netherlands","Anemone","OK Inspected"
"2020-09-03","CA San Francisco CBP","India","Liatris","OK Inspected"
"2020-09-04","FL Miami Air CBP","Japan","Mokara","OK Inspected"
"2020-09-05","FL Miami Air CBP","New Zealand","Agapanthus","OK Inspected"
"2020-09-05","VA Dulles CBP","Israel","Liatris","OK Inspected"
"2020-09-06","WA Seattle Air CBP","Mexico","Anemone","OK Inspected"
"2020-09-07","WA Seattle Air CBP","Israel","Gerbera","OK Inspected"
