,CARGO_FORM,CALENDAR_YR,ORIGIN,QUANTITY,UNIT,COMMODITY_LIST,LOCATION
34,Air Cargo,2011,CAN,167,Box/Carton,Lilium,CA Los Angeles
35,Air Cargo,2011,CAN,115,Box/Carton,Iris,CA Los Angeles
36,Air Cargo,2011,CAN,260,Box/Carton,Lisianthus,CA Los Angeles
37,Air Cargo,2011,CAN,99,Box/Carton,Philodendron,CA Los Angeles
38,Air Cargo,2011,CAN,141,Box/Carton,Chamelaucium,CA Los Angeles
39,Air Cargo,2011,CAN,477,Box/Carton,Delphinium,CA Los Angeles
40,Air Cargo,2011,CAN,392,Box/Carton,Gypsophila,CA Los Angeles
41,Air Cargo,2011,CAN,51,Box/Carton,Gerbera,CA Los Angeles
42,Air Cargo,2011,CAN,89,Box/Carton,Hydrangea,CA Los Angeles
43,Air Cargo,2011,CAN,96,Box/Carton,Lilium,CA Los Angeles
44,Air Cargo,2012,CAN,67,Box/Carton,Ilex,CA Los Angeles
45,Air Cargo,2012,CAN,127,Box/Carton,Rosa,CA Los Angeles
46,Air Cargo,2012,CAN,10,Box/Carton,Chrysanthemum (pom-pon),CA Los Angeles
47,Air Cargo,2012,CAN,131,Box/Carton,Hydrangea,CA Los Angeles
48,Air Cargo,2012,CAN,29,Box/Carton,Aster,CA Los Angeles
49,Air Cargo,2012,CAN,108,Box/Carton,Liriodendron,CA Los Angeles
50,Air Cargo,2012,CAN,21,Box/Carton,Strelitzia,CA Los Angeles
51,Air Cargo,2012,CAN,45,Stems,Gerbera,CA Los Angeles
52,Air Cargo,2012,CAN,20,Box/Carton,Dianthus,CA Los Angeles
53,Air Cargo,2012,CAN,28,Box/Carton,Dianthus (mini),CA Los Angeles
54,Air Cargo,2012,CAN,11,Box/Carton,Helianthus,CA Los Angeles
55,Air Cargo,2012,CAN,11,Box/Carton,Veronica,CA Los Angeles
56,Air Cargo,2012,CAN,14,Box/Carton,Zantedeschia,CA Los Angeles
57,Air Cargo,2012,CAN,11,Box/Carton,Aster,CA Los Angeles
58,Air Cargo,2012,CAN,33,Box/Carton,Moluccella,CA Los Angeles
59,Air Cargo,2012,CAN,15,Box/Carton,Aster,CA Los Angeles
60,Air Cargo,2012,CAN,23,Box/Carton,Dianthus,CA Los Angeles
61,Air Cargo,2012,CAN,21,Box/Carton,Gypsophila,CA Los Angeles
62,Air Cargo,2012,CAN,135,Box/Carton,Brassica,CA Los Angeles
63,Air Cargo,2012,CAN,33,Box/Carton,Chrysanthemum,CA Los Angeles
64,Air Cargo,2012,CAN,12,Box/Carton,Matthiola,CA Los Angeles
65,Air Cargo,2012,CAN,49,Box/Carton,Rosa,CA Los Angeles
66,Air Cargo,2013,COL,105,Box/Carton,Alstroemeria,CA Los Angeles
67,Air Cargo,2013,COL,11,Box/Carton,Amaranthus,CA Los Angeles
68,Air Cargo,2013,COL,49,Box/Carton,Aster,CA Los Angeles
69,Air Cargo,2013,CRI,34,Box/Carton,Dendrobium,CA Los Angeles
70,Air Cargo,2013,CRI,31,Box/Carton,Aranthera,CA Los Angeles
71,Air Cargo,2013,CRI,588,Box/Carton,Oncidium,CA Los Angeles
72,Air Cargo,2013,CRI,9,Box/Carton,Mokara,CA Los Angeles
73,Air Cargo,2013,CRI,14,Box/Carton,Alstroemeria,CA Los Angeles
74,Air Cargo,2013,CRI,118,Box/Carton,Dianthus,CA Los Angeles
75,Air Cargo,2013,CRI,9,Box/Carton,Liatris,CA Los Angeles
76,Air Cargo,2013,CRI,12,Box/Carton,Delphinium,CA Los Angeles
77,Air Cargo,2013,CRI,8,Box/Carton,Anemone,CA Los Angeles
78,Air Cargo,2013,CRI,33,Box/Carton,Aster,CA Los Angeles
79,Air Cargo,2013,CRI,35,Box/Carton,"Bouquet, Mixed",CA Los Angeles
80,Air Cargo,2013,CRI,20,Box/Carton,Gerbera,CA Los Angeles
81,Air Cargo,2013,ECU,10,Box/Carton,Solidago,CA Los Angeles
82,Air Cargo,2013,ECU,20,Box/Carton,Trachelium,CA Los Angeles
83,Air Cargo,2013,ECU,11,Box/Carton,Veronica,CA Los Angeles
84,Air Cargo,2013,ECU,38,Box/Carton,Anemone,CA Los Angeles
85,Air Cargo,2013,ECU,31,Box/Carton,Aster,CA Los Angeles
86,Air Cargo,2013,ECU,22,Box/Carton,"Bouquet, Mixed",CA Los Angeles
87,Air Cargo,2013,ECU,39,Box/Carton,Ranunculus,CA Los Angeles
88,Air Cargo,2013,ECU,10,Box/Carton,Rosa,CA Los Angeles
89,Air Cargo,2013,ETH,124,Box/Carton,"Bouquet, Mixed",CA Los Angeles
90,Air Cargo,2013,ETH,13,Box/Carton,Rosa,CA Los Angeles
91,Air Cargo,2013,ETH,8,Box/Carton,"Bouquet, Mixed",CA Los Angeles
92,Air Cargo,2013,ETH,10,Box/Carton,Aster,CA Los Angeles
93,Air Cargo,2013,ETH,26,Box/Carton,Mokara,CA Los Angeles
94,Air Cargo,2013,ETH,202,Box/Carton,Dianthus (mini),CA Los Angeles
95,Air Cargo,2013,GBR,23,Box/Carton,"Bouquet, Mixed",CA Los Angeles
96,Air Cargo,2013,GTM,17,Box/Carton,Rumohra,CA Los Angeles
97,Air Cargo,2013,GTM,10,Box/Carton,Chrysanthemum,CA Los Angeles
98,Air Cargo,2013,GTM,21,Box/Carton,Antirrhinum,CA Los Angeles
99,Air Cargo,2013,GTM,15,Box/Carton,Cocculus,CA Los Angeles
100,Air Cargo,2013,GTM,11,Box/Carton,Dianthus (mini),CA Los Angeles
101,Air Cargo,2013,GTM,75,Box/Carton,"Bouquet, Mixed",CA Los Angeles
102,Air Cargo,2014,GTM,46,Box/Carton,Pittosporum,CA Los Angeles
103,Air Cargo,2014,GTM,113,Box/Carton,Hydrangea,CA Los Angeles
104,Air Cargo,2014,GTM,30,Box/Carton,"Bouquet, Mixed",CA Los Angeles
105,Air Cargo,2014,GTM,27,Box/Carton,Chrysanthemum (pom-pon),CA Los Angeles
106,Air Cargo,2014,IRE,184,Box/Carton,Dianthus (mini),CA Los Angeles
107,Air Cargo,2014,IRE,15,Box/Carton,Moluccella,CA Los Angeles
108,Air Cargo,2014,ISR,20,Box/Carton,Gerbera,CA Los Angeles
109,Air Cargo,2014,ISR,9,Box/Carton,Liriodendron,CA Los Angeles
110,Air Cargo,2014,ISR,10,Box/Carton,Gerbera,CA Los Angeles
111,Air Cargo,2014,ISR,125,Box/Carton,Chrysanthemum (pom-pon),CA Los Angeles
112,Air Cargo,2014,ISR,47,Box/Carton,Rosa,CA Los Angeles
113,Air Cargo,2014,ITA,19,Box/Carton,"Bouquet, Mixed",CA Los Angeles
114,Air Cargo,2014,ITA,20,Box/Carton,"Bouquet, Rose",CA Los Angeles
115,Air Cargo,2014,ITA,26,Box/Carton,"Bouquet, Rose",CA Los Angeles
116,Air Cargo,2014,ITA,13,Box/Carton,Pittosporum,CA Los Angeles
117,Air Cargo,2014,ITA,27,Box/Carton,Dianthus,CA Los Angeles
118,Air Cargo,2014,ITA,19,Box/Carton,Gerbera,CA Los Angeles
119,Air Cargo,2014,KEN,20,Box/Carton,Papaver,CA Los Angeles
120,Air Cargo,2014,MEX,69,Box/Carton,Gypsophila,CA Los Angeles
121,Air Cargo,2014,MEX,27,Box/Carton,Helianthus,CA Los Angeles
122,Air Cargo,2014,MEX,36,Box/Carton,Hypericum,CA Los Angeles
123,Air Cargo,2014,MEX,125,Box/Carton,Lepidium,CA Los Angeles
124,Air Cargo,2014,MEX,130,Box/Carton,Anemone,CA Los Angeles
125,Air Cargo,2014,MEX,12,Box/Carton,"Bouquet, Mixed",CA Los Angeles
126,Air Cargo,2014,MEX,8,Box/Carton,Protea,CA Los Angeles
127,Air Cargo,2014,MEX,31,Box/Carton,Zantedeschia,CA Los Angeles
128,Air Cargo,2014,MEX,33,Box/Carton,Gerbera,CA Los Angeles
129,Air Cargo,2014,MEX,100,Box/Carton,Gypsophila,CA Los Angeles
130,Air Cargo,2014,MEX,38,Box/Carton,"Bouquet, Rose",CA Los Angeles
131,Air Cargo,2014,MEX,79,Box/Carton,Matthiola,CA Los Angeles
132,Air Cargo,2014,MEX,77,Box/Carton,Godetia,CA Los Angeles
133,Air Cargo,2014,MEX,57,Box/Carton,Alstroemeria,CA Los Angeles
134,Air Cargo,2014,MEX,11,Box/Carton,Delphinium,CA Los Angeles
135,Air Cargo,2014,MEX,20,Box/Carton,Gypsophila,CA Los Angeles
136,Air Cargo,2014,MEX,48,Box/Carton,Gypsophila,CA Los Angeles
137,Air Cargo,2014,MEX,8,Box/Carton,Liatris,CA Los Angeles
138,Air Cargo,2014,MEX,17,Box/Carton,Lilium,CA Los Angeles
139,Air Cargo,2014,MEX,82,Box/Carton,Moluccella,CA Los Angeles
140,Air Cargo,2014,MEX,41,Box/Carton,Gerbera,CA Los Angeles
141,Air Cargo,2014,MEX,105,Box/Carton,Helianthus,CA Los Angeles
142,Air Cargo,2014,MEX,74,Box/Carton,Hydrangea,CA Los Angeles
143,Air Cargo,2014,MEX,14,Box/Carton,Limonium,CA Los Angeles
144,Air Cargo,2014,MEX,11,Box/Carton,Aster,CA Los Angeles
145,Air Cargo,2015,MEX,30,Box/Carton,Gerbera,CA Los Angeles
146,Air Cargo,2015,MEX,35,Box/Carton,Dianthus,CA Los Angeles
147,Air Cargo,2015,MYS,60,Box/Carton,"Bouquet, Mixed",CA Los Angeles
148,Air Cargo,2015,MYS,75,Box/Carton,Cordyline,CA Los Angeles
149,Air Cargo,2015,MYS,80,Box/Carton,Fatsia,CA Los Angeles
150,Air Cargo,2015,MYS,80,Box/Carton,Gardenia,CA Los Angeles
151,Air Cargo,2015,MYS,95,Box/Carton,Hydrangea,CA Los Angeles
152,Air Cargo,2015,MYS,115,Box/Carton,Monstera,CA Los Angeles
153,Air Cargo,2015,MYS,30,Box/Carton,Moluccella,CA Los Angeles
154,Air Cargo,2015,MYS,85,Box/Carton,Amaranthus,CA Los Angeles
155,Air Cargo,2015,MYS,110,Box/Carton,Hydrangea,CA Los Angeles
156,Air Cargo,2015,MYS,135,Box/Carton,Hydrangea,CA Los Angeles
157,Air Cargo,2015,MYS,23,Box/Carton,Solidago,CA Los Angeles
158,Air Cargo,2015,MYS,11,Box/Carton,Veronica,CA Los Angeles
159,Air Cargo,2015,NLD,19,Box/Carton,Chrysanthemum,CA Los Angeles
160,Air Cargo,2015,NLD,19,Box/Carton,Delphinium,CA Los Angeles
161,Air Cargo,2015,NLD,14,Box/Carton,Eryngium,CA Los Angeles
162,Air Cargo,2015,NLD,22,Box/Carton,Gerbera,CA Los Angeles
163,Air Cargo,2015,NLD,10,Box/Carton,Leucospermum,CA Los Angeles
164,Air Cargo,2015,NLD,11,Box/Carton,Ornithogalum,CA Los Angeles
165,Air Cargo,2015,NLD,100,Box/Carton,Dianthus,CA Los Angeles
166,Air Cargo,2015,NLD,24,Box/Carton,"Bouquet, Mixed",CA Los Angeles
167,Air Cargo,2015,NLD,1000,Stems,Liriodendron,CA Los Angeles
168,Air Cargo,2015,NLD,2000,Stems,Ranunculus,CA Los Angeles
169,Air Cargo,2015,NLD,33,Box/Carton,Zantedeschia,CA Los Angeles
170,Air Cargo,2015,NLD,1400,Stems,"Bouquet, Rose",CA Los Angeles
171,Air Cargo,2015,NLD,40,Stems,Pittosporum,CA Los Angeles
172,Air Cargo,2015,NLD,1200,Stems,Lepidium,CA Los Angeles
173,Air Cargo,2015,NLD,1200,Stems,Limonium,CA Los Angeles
174,Air Cargo,2015,NLD,54,Stems,Campanula,CA Los Angeles
175,Air Cargo,2015,NLD,9,Box/Carton,"Bouquet, Mixed",CA Los Angeles
176,Air Cargo,2015,NLD,376,Stems,"Bouquet, Rose",CA Los Angeles
177,Air Cargo,2015,NLD,342,Stems,Rosa,CA Los Angeles
178,Air Cargo,2015,NLD,140,Stems,Aster,CA Los Angeles
179,Air Cargo,2015,NLD,10,Box/Carton,Ruscus,CA Los Angeles
180,Air Cargo,2015,NLD,1530,Stems,Zantedeschia,CA Los Angeles
181,Air Cargo,2015,NLD,350,Stems,Solidago,CA Los Angeles
182,Air Cargo,2015,NLD,13880,Stems,Matthiola,CA Los Angeles
183,Air Cargo,2015,NLD,2250,Stems,Ammi,CA Los Angeles
184,Air Cargo,2015,NLD,440,Stems,Leucadendron,CA Los Angeles
185,Air Cargo,2015,NLD,2520,Stems,Lisianthus,CA Los Angeles
186,Air Cargo,2015,NLD,35,Stems,Tulipa,CA Los Angeles
187,Air Cargo,2015,NLD,60,Stems,Amaryllis,CA Los Angeles
188,Air Cargo,2015,NLD,192,Box/Carton,Freesia,CA Los Angeles
189,Air Cargo,2015,NLD,1248,Stems,Astilbe,CA Los Angeles
190,Air Cargo,2015,NLD,1670,Stems,Dianthus,CA Los Angeles
191,Air Cargo,2015,NLD,315,Stems,Dianthus (mini),CA Los Angeles
192,Air Cargo,2015,NLD,20,Box/Carton,Rosa,CA Los Angeles
193,Air Cargo,2015,NLD,5663,Stems,Liriodendron,CA Los Angeles
194,Air Cargo,2015,NLD,1100,Stems,Leucadendron,CA Los Angeles
195,Air Cargo,2015,NLD,7290,Stems,Leucospermum,CA Los Angeles
196,Air Cargo,2015,NLD,3172,Stems,Lilium,CA Los Angeles
197,Air Cargo,2015,NLD,14320,Stems,Limonium,CA Los Angeles
198,Air Cargo,2015,NLD,33,Box/Carton,Rosa,CA Los Angeles
199,Air Cargo,2015,NLD,9,Box/Carton,Ruscus,CA Los Angeles
200,Air Cargo,2015,NLD,14,Box/Carton,Zantedeschia,CA Los Angeles
201,Air Cargo,2015,NLD,24,Box/Carton,Alstroemeria,CA Los Angeles
202,Air Cargo,2015,NLD,600,Box/Carton,"Bouquet, Rose",CA Los Angeles
203,Air Cargo,2015,NLD,21700,Stems,Leucadendron,CA Los Angeles
204,Air Cargo,2015,NLD,50,Stems,Lilium,CA Los Angeles
205,Air Cargo,2015,NLD,13475,Stems,Rosa,CA Los Angeles
206,Air Cargo,2016,NLD,75,Box/Carton,Aster,CA Los Angeles
207,Air Cargo,2016,NLD,10186,Box/Carton,"Bouquet, Mixed",CA Los Angeles
208,Air Cargo,2016,NLD,1005,Box/Carton,Ruscus,CA Los Angeles
209,Air Cargo,2016,NLD,2346,Box/Carton,Limonium,CA Los Angeles
210,Air Cargo,2016,NLD,11064,Box/Carton,Antirrhinum,CA Los Angeles
211,Air Cargo,2016,NLD,1558,Box/Carton,Solidago,CA Los Angeles
212,Air Cargo,2016,NLD,9563,Box/Carton,"Bouquet, Mixed",CA Los Angeles
213,Air Cargo,2016,NLD,877,Box/Carton,Campanula,CA Los Angeles
214,Air Cargo,2016,NLD,270,Box/Carton,Dianthus,CA Los Angeles
215,Air Cargo,2016,NLD,2000,Box/Carton,Rosa,CA Los Angeles
216,Air Cargo,2016,NLD,10,Stems,Antirrhinum,CA Los Angeles
217,Air Cargo,2016,NLD,81,Box/Carton,Dianthus,CA Los Angeles
218,Air Cargo,2016,NLD,9,Box/Carton,Chrysanthemum,CA Los Angeles
219,Air Cargo,2017,THA,170,Box/Carton,Delphinium,CA Los Angeles
220,Air Cargo,2017,THA,599,Box/Carton,Brassica,CA Los Angeles
221,Air Cargo,2017,THA,384,Box/Carton,Gypsophila,CA Los Angeles
222,Air Cargo,2017,THA,456,Box/Carton,Hypericum,CA Los Angeles
223,Air Cargo,2017,THA,176,Box/Carton,Liatris,CA Los Angeles
224,Air Cargo,2017,THA,320,Box/Carton,Lisianthus,CA Los Angeles
225,Air Cargo,2017,THA,30,Box/Carton,Matthiola,CA Los Angeles
226,Air Cargo,2017,THA,420,Box/Carton,Moluccella,CA Los Angeles
227,Air Cargo,2017,THA,225,Box/Carton,Matthiola,CA Los Angeles
228,Air Cargo,2017,THA,30,Box/Carton,Kalanchoe,CA Los Angeles
229,Air Cargo,2017,THA,312,Box/Carton,"Bouquet, Rose",CA Los Angeles
230,Air Cargo,2016,NLD,10,Box/Carton,Dianthus (mini),CA Los Angeles
231,Air Cargo,2016,NLD,30,Box/Carton,Rosa,CA Los Angeles
232,Air Cargo,2016,NLD,10,Box/Carton,Hydrangea,CA Los Angeles
233,Air Cargo,2016,NLD,9,Box/Carton,"Bouquet, Mixed",CA Los Angeles
234,Air Cargo,2016,NLD,14,Box/Carton,Moluccella,CA Los Angeles
235,Air Cargo,2016,NLD,8,Box/Carton,Ozothamnus,CA Los Angeles
236,Air Cargo,2016,NLD,33,Box/Carton,Rosa,CA Los Angeles
237,Air Cargo,2016,NLD,14,Box/Carton,Helianthus,CA Los Angeles
238,Air Cargo,2016,NLD,8,Box/Carton,Alpinia,CA Los Angeles
239,Air Cargo,2016,NLD,13,Box/Carton,Phoenix,CA Los Angeles
240,Air Cargo,2016,NLD,10,Box/Carton,Agapanthus,CA Los Angeles
241,Air Cargo,2016,NLD,45480,Stems,Aster,CA Los Angeles
242,Air Cargo,2016,NLD,220,Box/Carton,Campanula,CA Los Angeles
243,Air Cargo,2016,NLD,369,Box/Carton,Chrysanthemum,CA Los Angeles
244,Air Cargo,2016,NLD,858,Box/Carton,Eryngium,CA Los Angeles
245,Air Cargo,2016,NZL,100,Stems,Phlox,CA Los Angeles
246,Air Cargo,2016,NZL,4000,Stems,Alstroemeria,CA Los Angeles
247,Air Cargo,2016,NZL,20724,Stems,"Bouquet, Mixed",CA Los Angeles
248,Air Cargo,2016,NZL,40002,Stems,"Bouquet, Rose",CA Los Angeles
249,Air Cargo,2017,THA,10,Box/Carton,Ranunculus,CA Los Angeles
250,Air Cargo,2017,THA,20,Box/Carton,Rosa,CA Los Angeles
251,Air Cargo,2017,THA,16,Box/Carton,Scabiosa,CA Los Angeles
252,Air Cargo,2017,THA,14,Box/Carton,Rosa,CA Los Angeles
253,Air Cargo,2017,THA,11,Box/Carton,Antirrhinum,CA Los Angeles
254,Air Cargo,2017,THA,11,Box/Carton,Aster,CA Los Angeles
255,Air Cargo,2017,THA,9,Box/Carton,"Bouquet, Mixed",CA Los Angeles
256,Air Cargo,2017,THA,10,Stems,Chrysanthemum,CA Los Angeles
257,Air Cargo,2017,THA,40,Box/Carton,Liriodendron,CA Los Angeles
258,Air Cargo,2017,THA,1400,Stems,Limonium,CA Los Angeles
259,Air Cargo,2017,THA,15,Stems,Lilium,CA Los Angeles
260,Air Cargo,2017,THA,50,Stems,Chrysanthemum (pom-pon),CA Los Angeles
261,Air Cargo,2017,THA,13,Box/Carton,Senecio,CA Los Angeles
262,Air Cargo,2017,THA,52,Box/Carton,Freesia,CA Los Angeles
263,Air Cargo,2017,THA,14,Box/Carton,Genista,CA Los Angeles
264,Air Cargo,2017,THA,60,Box/Carton,Vanda,CA Los Angeles
265,Air Cargo,2017,THA,160,Stems,Anemone,CA Los Angeles
266,Air Cargo,2017,THA,70,Stems,Astrantia,CA Los Angeles
267,Air Cargo,2017,THA,150,Stems,Iris,CA Los Angeles
268,Air Cargo,2017,THA,10,Stems,Dendrobium,CA Los Angeles
269,Air Cargo,2017,THA,16,Box/Carton,Dendrobium,CA Los Angeles
270,Air Cargo,2017,THA,141,Box/Carton,Brassica,CA Los Angeles
271,Air Cargo,2017,THA,66,Box/Carton,Eucalyptus,CA Los Angeles
272,Air Cargo,2017,THA,7446,Box/Carton,Acacia,CA Los Angeles
273,Air Cargo,2017,THA,70,Box/Carton,Eryngium,CA Los Angeles
274,Air Cargo,2017,THA,74,Box/Carton,Gypsophila,CA Los Angeles
275,Air Cargo,2017,THA,94,Box/Carton,Lilium,CA Los Angeles
276,Air Cargo,2017,THA,94,Box/Carton,Chrysanthemum (pom-pon),CA Los Angeles
277,Air Cargo,2017,THA,26,Box/Carton,Hydrangea,CA Los Angeles
278,Air Cargo,2017,THA,68,Box/Carton,Chrysanthemum,CA Los Angeles
279,Air Cargo,2017,THA,35,Box/Carton,Dianthus,CA Los Angeles
280,Air Cargo,2017,THA,86,Box/Carton,Gerbera,CA Los Angeles
281,Air Cargo,2017,THA,100,Box/Carton,Lilium,CA Los Angeles
282,Air Cargo,2018,THA,50,Box/Carton,Liriope,CA Los Angeles
283,Air Cargo,2018,THA,65,Box/Carton,Helianthus,CA Los Angeles
284,Air Cargo,2018,THA,1200,Stems,Dianthus (mini),CA Los Angeles
285,Air Cargo,2018,THA,345,Box/Carton,"Bouquet, Mixed",CA Los Angeles
286,Air Cargo,2018,THA,1125,Stems,Craspedia,CA Los Angeles
287,Air Cargo,2018,THA,96,Box/Carton,Hydrangea,CA Los Angeles
288,Air Cargo,2018,THA,27,Box/Carton,Chrysanthemum (pom-pon),CA Los Angeles
289,Air Cargo,2018,THA,50,Box/Carton,"Bouquet, Mixed",CA Los Angeles
290,Air Cargo,2018,THA,28,Box/Carton,Lilium,CA Los Angeles
291,Air Cargo,2018,THA,1575,Stems,Lisianthus,CA Los Angeles
292,Air Cargo,2018,THA,4290,Stems,Agapanthus,CA Los Angeles
293,Air Cargo,2018,THA,232,Box/Carton,Lilium,CA Los Angeles
294,Air Cargo,2018,THA,1350,Stems,Monstera,CA Los Angeles
295,Air Cargo,2018,THA,143180,Stems,Pittosporum,CA Los Angeles
296,Air Cargo,2018,THA,1200,Stems,Strelitzia,CA Los Angeles
297,Air Cargo,2018,THA,124560,Stems,Leucospermum,CA Los Angeles
298,Air Cargo,2018,THA,32,Box/Carton,Liatris,CA Los Angeles
299,Air Cargo,2018,THA,1890,Stems,Lilium,CA Los Angeles
300,Air Cargo,2018,THA,2475,Stems,Limonium,CA Los Angeles
301,Southern Border Cargo,2013,CRI,39,Box/Carton,Alstroemeria,CA Otay Mesa
302,Southern Border Cargo,2013,ECU,25,Box/Carton,Hypericum,CA Otay Mesa
303,Southern Border Cargo,2013,ECU,181,Box/Carton,Leucospermum,CA Otay Mesa
304,Southern Border Cargo,2013,ETH,10,Box/Carton,Strelitzia,CA Otay Mesa
305,Southern Border Cargo,2013,ETH,14,Box/Carton,Gerbera,CA Otay Mesa
306,Southern Border Cargo,2013,ETH,29,Box/Carton,Dianthus,CA Otay Mesa
307,Southern Border Cargo,2013,ETH,23,Box/Carton,Leucocoryne,CA Otay Mesa
308,Southern Border Cargo,2013,ETH,9,Box/Carton,Delphinium,CA Otay Mesa
309,Southern Border Cargo,2013,GTM,8,Box/Carton,Aster,CA Otay Mesa
310,Southern Border Cargo,2013,GTM,10,Box/Carton,Chrysanthemum,CA Otay Mesa
311,Southern Border Cargo,2013,GTM,9,Box/Carton,Lilium,CA Otay Mesa
312,Southern Border Cargo,2014,GTM,15,Box/Carton,Chrysanthemum,CA Otay Mesa
313,Southern Border Cargo,2014,ISR,13,Box/Carton,Hydrangea,CA Otay Mesa
314,Southern Border Cargo,2014,JAM,96,Box/Carton,Dianthus (mini),CA Otay Mesa
315,Southern Border Cargo,2014,MEX,28,Box/Carton,Ammi,CA Otay Mesa
316,Southern Border Cargo,2014,MEX,62,Box/Carton,Bupleurum,CA Otay Mesa
317,Southern Border Cargo,2014,MEX,22,Box/Carton,Dianthus (mini),CA Otay Mesa
318,Southern Border Cargo,2014,MEX,24,Box/Carton,Rosa,CA Otay Mesa
319,Southern Border Cargo,2014,MEX,49,Box/Carton,Limonium,CA Otay Mesa
320,Southern Border Cargo,2014,MEX,9,Box/Carton,Dianthus,CA Otay Mesa
321,Southern Border Cargo,2014,MEX,9,Box/Carton,"Bouquet, Rose",CA Otay Mesa
322,Southern Border Cargo,2014,MEX,11,Box/Carton,Brassica,CA Otay Mesa
323,Southern Border Cargo,2015,MYS,29,Box/Carton,Anemone,CA Otay Mesa
324,Southern Border Cargo,2015,NLD,10,Box/Carton,Eucalyptus,CA Otay Mesa
325,Southern Border Cargo,2015,NLD,8,Box/Carton,Lilium,CA Otay Mesa
326,Southern Border Cargo,2015,NLD,200,Box/Carton,"Bouquet, Rose",CA Otay Mesa
327,Southern Border Cargo,2015,NLD,800,Stems,Lilium,CA Otay Mesa
328,Southern Border Cargo,2015,NLD,200,Stems,Limonium,CA Otay Mesa
329,Southern Border Cargo,2015,NLD,39,Box/Carton,Pittosporum,CA Otay Mesa
330,Southern Border Cargo,2015,NLD,139,Box/Carton,Lilium,CA Otay Mesa
331,Southern Border Cargo,2016,NLD,10698,Box/Carton,Brassica,CA Otay Mesa
332,Southern Border Cargo,2016,NLD,14250,Stems,Zantedeschia,CA Otay Mesa
333,Southern Border Cargo,2016,NLD,18000,Stems,"Bouquet, Mixed",CA Otay Mesa
334,Southern Border Cargo,2016,NLD,5920,Stems,Zantedeschia,CA Otay Mesa
335,Southern Border Cargo,2016,NLD,37,Box/Carton,"Bouquet, Rose",CA Otay Mesa
336,Southern Border Cargo,2016,NLD,11,Box/Carton,Limonium,CA Otay Mesa
337,Southern Border Cargo,2016,NLD,24,Box/Carton,Leucadendron,CA Otay Mesa
338,Southern Border Cargo,2016,NLD,308,Box/Carton,Senecio,CA Otay Mesa
339,Southern Border Cargo,2016,NZL,10,Box/Carton,Dianthus (mini),CA Otay Mesa
340,Southern Border Cargo,2016,NZL,19,Box/Carton,Rosa,CA Otay Mesa
341,Southern Border Cargo,2017,THA,10,Box/Carton,Eryngium,CA Otay Mesa
